DeptCode,BCLName,ProgramName,2015 Actual,2015 Adopted,2016 Endorsed,2016 Adopted
12LIBLEVY,Library Levy Operating Transfer,Library Levy Operating Transfer,12560843.00,13139976.00,13665837.00,13665837.00
ARTS,Arts Account,Administrative Services,535825.00,652869.00,577473.00,598187.00
ARTS,Arts Account,Community Development and Outreach,537298.00,616223.00,624749.00,611425.00
ARTS,Arts Account,Cultural Partnerships,3480285.00,3810876.00,3766536.00,4517092.00
ARTS,Arts Account,Langston Hughes Performing Arts Institute,824622.00,875117.00,843873.00,428046.00
ARTS,Capital Arts,Capital Arts,0.00,0.00,0.00,1856000.00
ARTS,Municipal Arts Fund,Artwork Conservation,0.00,0.00,0.00,187000.00
ARTS,Municipal Arts Fund,Public Art,2250314.00,3065271.00,3119332.00,3099449.00
AUD,Office of City Auditor,Office of City Auditor,1760573.00,1586256.00,1597521.00,1792064.00
CBLFEE,Cable Fee Support to Information Technology Fund,Business Office,,0.00,0.00,238437.00
CBLFEE,Cable Fee Support to Information Technology Fund,Cable Communications,775333.00,935373.00,895050.00,907842.00
CBLFEE,Cable Fee Support to Information Technology Fund,Community Technology,1429722.00,1429342.00,1449014.00,1715774.00
CBLFEE,Cable Fee Support to Information Technology Fund,Engineering and Operations,1631698.00,969079.00,921924.00,1155473.00
CBLFEE,Cable Fee Support to Information Technology Fund,"Leadership, Planning and Security",426298.00,407542.00,428000.00,733797.00
CBLFEE,Cable Fee Support to Information Technology Fund,Seattle Channel/Democracy Portal,3366897.00,3627525.00,3661739.00,3709800.00
CBLFEE,Cable Fee Support to Information Technology Fund,Web Site Support,1152731.00,924829.00,940756.00,945258.00
CBLFEE,Cable Fee Support to Library Fund,Citizen Literacy/Access,190000.00,190000.00,190000.00,530000.00
CBO,City Budget Office,City Budget Office,3808031.00,5606325.00,5650211.00,5895076.00
CEN,Access,Access,1109171.00,1137505.00,1146770.00,1137305.00
CEN,Administration-SC,Administration-SC,7144047.00,7434984.00,7511957.00,8021132.00
CEN,Armory Rehabilitation (00163-CIP),Armory Food Court Renovation - Debt Service,0.00,380000.00,381000.00,381000.00
CEN,Armory Rehabilitation (00163-CIP),Armory Rehabilitation,0.00,258000.00,452000.00,452000.00
CEN,Armory Rehabilitation (35500-CIP),(blank),769.00,0.00,0.00,0.00
CEN,Campus Grounds,Campus Grounds,11993677.00,12173173.00,12337402.00,12304752.00
CEN,Campuswide Improvements and Repairs (00163-CIP),ADA Improvements,0.00,775000.00,0.00,59000.00
CEN,Campuswide Improvements and Repairs (00163-CIP),Open Space Restoration and Repair,0.00,579000.00,700000.00,1210000.00
CEN,Campuswide Improvements and Repairs (00163-CIP),Preliminary Engineering and Planning,0.00,300000.00,300000.00,300000.00
CEN,Campuswide Improvements and Repairs (00163-CIP),Site Signage,0.00,0.00,50000.00,50000.00
CEN,Campuswide Improvements and Repairs (00163-CIP),(blank),4198768.00,0.00,0.00,0.00
CEN,Campuswide Improvements and Repairs (00164-CIP),Artwork Maintenance,0.00,30000.00,30000.00,30000.00
CEN,Campuswide Improvements and Repairs (34060),Seattle Center Long Range Investment Plan,0.00,0.00,0.00,290000.00
CEN,Campuswide Improvements and Repairs (34060),(blank),126441.00,0.00,0.00,0.00
CEN,Commercial Events,Commercial Events,1019818.00,988854.00,1025729.00,1015956.00
CEN,Community Programs,Community Programs,2098686.00,2140349.00,2171378.00,2155080.00
CEN,Cultural Facilities,Cultural Facilities,224758.00,232529.00,234987.00,232557.00
CEN,Debt,Debt,126450.00,126050.00,126450.00,124450.00
CEN,Facility Infrastructure Renovation and Repair (00163-CIP),Roof/Structural Replacement and Repair,0.00,0.00,100000.00,100000.00
CEN,Festivals,Festivals,1466899.00,1342795.00,1357377.00,1299978.00
CEN,Judgment and Claims,Judgment and Claims,702856.00,0.00,0.00,0.00
