DeptCode,BCLName,ProgramName,2016 Actuals,2017 Adopted,2018 Endorsed,2018 Proposed
12LIBLEVY,Library Levy Operating Transfer,Library Levy Operating Transfer,16416248,14503161,14905762,15406132
ARTS,Municipal Arts Fund,Artwork Conservation,167028,192527,195486,196788
CBLFEE,Cable Fee Support to Information Technology Fund,Applications,0,742062,430062,430062
CBLFEE,Cable Fee Support to Information Technology Fund,Business Office,238440,456822,386145,386145
CBLFEE,Cable Fee Support to Information Technology Fund,Citywide Web Team,1105252,1122959,1135302,1135302
CBLFEE,Cable Fee Support to Information Technology Fund,Community Technology,1815772,1701104,1687396,1687396
CBLFEE,Cable Fee Support to Information Technology Fund,Engineering and Operations,1155468,762585,770763,770763
CBLFEE,Cable Fee Support to Information Technology Fund,Office of Cable Communications,907836,811121,821776,821776
CBLFEE,Cable Fee Support to Information Technology Fund,Open Data,0,307153,312935,312935
CBLFEE,Cable Fee Support to Information Technology Fund,Seattle Channel,3709800,3306378,3343070,3503070
CBLFEE,Cable Fee Support to Information Technology Fund,"Security, Risk and Compliance",0,435097,442581,442581
CBLFEE,Cable Fee Support to Information Technology Fund,Strategy and Planning,733788,68185,69930,69930
CBLFEE,Cable Fee Support to Library Fund,Citizen Literacy/Access,530000,640000,642000,642000
CEN,Debt,Debt,124450,125250,125750,125750
CEN,Judgment and Claims,Judgment and Claims,0,223449,193984,193984
CRS,Artwork Conservation - OACA - CRS-UR,Artwork Conservation - OACA,217791,187000,187000,0
CRS,CRS REET I Support to McCaw Hall Fund,CRS REET I Support to McCaw Hall Fund,265000,273000,282000,282000
CRS,CRS REET I Support to Transportation,Corridor & Intersection Improvements - REET I,0,2750000,0,0
CRS,CRS REET I Support to Transportation,Debt Service (SDOT) - REET I,0,1000000,1900000,1900000
CRS,CRS REET I Support to Transportation,Roads - REET I,522172,1000000,1185000,1185000
CRS,CRS REET I Support to Transportation,Sidewalks & Pedestrian Facilities - REET I,0,1000000,0,0
CRS,CRS REET I Support to Transportation,Trails and Bike Paths - REET I,8,0,0,0
CRS,CRS REET I Support to Transportation,Transit & HOV - REET I,0,3000000,0,0
CRS,CRS REET II Support to Transportation,Alaskan Way Viaduct - REET II,12535768,10000000,0,0
CRS,CRS REET II Support to Transportation,Bridges & Structures - REET II,859961,2677000,2678000,3178000
CRS,CRS REET II Support to Transportation,Corridor & Intersection Improvements - REET II,625460,0,111000,0
CRS,CRS REET II Support to Transportation,Debt Service (SDOT) - REET II,1348313,0,0,0
CRS,CRS REET II Support to Transportation,Freight Mobility - REET II,0,5000000,0,0
CRS,CRS REET II Support to Transportation,Intelligent Transportation System - REET II,1290828,0,0,0
CRS,CRS REET II Support to Transportation,Landslide Mitigation - REET II,241934,200000,200000,1200000
CRS,CRS REET II Support to Transportation,Neighborhood Enhancements - REET II,1682284,1941000,0,1910000
CRS,CRS REET II Support to Transportation,New Trails and Bike Paths - REET II,15731,0,0,0
