Dept,FundName,RevenueTableCategory,RevenueSourceName,2017 Actuals,2018 Adopted,2019 Proposed,2020 Proposed
ARTS,Arts and Culture Fund (12400),Admission Tax Allocation,Operating Transfers In - Admission Tax Allocation,,10328191,11550000,11314590
ARTS,Arts and Culture Fund (12400),Facility Operations,Operating Transfers In - LHPAI Rent,,72000,72000,72000
ARTS,Arts and Culture Fund (12400),General Fund,Operating Transfers In - General Fund,,61294,0,0
ARTS,Arts and Culture Fund (12400),Grants and Service Contracts,Direct Fed Grants,,115000,0,0
ARTS,Arts and Culture Fund (12400),Grants and Service Contracts,Mellow Fellowship Payment,,0,0,0
ARTS,Arts and Culture Fund (12400),Misc Revenues,Art in Parks Support from DPR,,0,235000,235000
ARTS,Arts and Culture Fund (12400),Misc Revenues,Interest Earnings,,50000,50000,50000
ARTS,Arts and Culture Fund (12400),Misc Revenues,Interest Increase/Decrease,,0,0,0
ARTS,Arts and Culture Fund (12400),Total Use of/(Contribution to) Fund Balance,Use of/(Contribution to) Fund Balance - Arts and Culture Fund,,-3216604,690731,438765
ARTS,Municipal Arts Fund (12010),1% for Art Revenues,1% Contribution - City Light,,569131,550000,550000
ARTS,Municipal Arts Fund (12010),1% for Art Revenues,1% Contribution - Finance and Admin. Services,,72600,70000,70000
ARTS,Municipal Arts Fund (12010),1% for Art Revenues,1% Contribution - Parks,,140880,145000,145000
ARTS,Municipal Arts Fund (12010),1% for Art Revenues,1% Contribution - Public Utilities,,921546,900000,900000
ARTS,Municipal Arts Fund (12010),1% for Art Revenues,1% Contribution - Seattle Center,,2250,2000,2000
ARTS,Municipal Arts Fund (12010),1% for Art Revenues,1% Contribution - Transportation,,1302928,1300000,1300000
ARTS,Municipal Arts Fund (12010),Misc Revenues,Interest Earnings,,133900,130000,105500
ARTS,Municipal Arts Fund (12010),Misc Revenues,Interest Increase/Decrease,,0,0,0
ARTS,Municipal Arts Fund (12010),Misc Revenues,Miscellaneous Other Revenue,,24000,25000,25000
ARTS,Municipal Arts Fund (12010),Misc Revenues,Operating Transfers In - CRS,,0,0,0
ARTS,Municipal Arts Fund (12010),Public Art Collection Management Fees,Collection Management Fees - City Light,,85843,96839,99234
ARTS,Municipal Arts Fund (12010),Public Art Collection Management Fees,Collection Management Fees - General Fund,,106324,119943,122757
ARTS,Municipal Arts Fund (12010),Public Art Collection Management Fees,Collection Management Fees - Public Utilities,,38620,43567,44644
ARTS,Municipal Arts Fund (12010),Total Use of/(Contribution to) Fund Balance,Use of/(Contribution to) Fund Balance - Municipal Arts Fund,,748701,1862221,2881693
CBLFEE,Cable Television Franchise Fund,"Franchise Fees, Licenses, Permits, and Fines","Franchise Fee Revenues, Licenses, Permits, and Fines",,9351090,8705429,8433321
CBLFEE,Cable Television Franchise Fund,Interest Earnings/Investment Earnings,Interest Earnings,,57024,25390,0
CBLFEE,Cable Television Franchise Fund,Use of (Contributions to) Fund Balance,Use of (Contributions to) Fund Balance,,793846,1428560,1351222
CEN,McCaw Hall Capital Reserve,McCaw Hall Capital Reserve,Interest Earnings,,0,54000,16000
CEN,McCaw Hall Capital Reserve,McCaw Hall Capital Reserve,McCaw Hall Tenant Contributions,,0,290000,299000
CEN,McCaw Hall Capital Reserve,McCaw Hall Capital Reserve,REET Funding for McCaw Hall Capital Reserve,,0,290000,299000
CEN,Seattle Center Fund (11410),Access,FTA Grant for Monorail,,0,1004000,1004000
CEN,Seattle Center Fund (11410),Access,Interfund Loan,,0,0,1517817
CEN,Seattle Center Fund (11410),Access,Local Match for Monorail Grant,,0,251000,251000
CEN,Seattle Center Fund (11410),Administration,Campus Sponsorships,,0,580000,680000
CEN,Seattle Center Fund (11410),Administration,Monorail,,0,5000,5000
CEN,Seattle Center Fund (11410),Use of Fund Balance (Seattle Center Fund),Use of Fund Balance - Seattle Center Fund (11410),,857240,2692765,461200
CEN,Seattle Center KeyArena Fund,KeyArena,KeyArena Concessions,,1166253,0,0
CEN,Seattle Center KeyArena Fund,KeyArena,KeyArena Premium Seating,,825000,0,0
CEN,Seattle Center KeyArena Fund,KeyArena,KeyArena Ticketing,,1966478,0,0
CEN,Seattle Center McCaw Hall Fund,Contribution to Fund Balance - McCaw Hall Fund,Contribution to Fund Balance - McCaw Hall Fund (11430),,0,-452586,-662631
CEN,Seattle Center McCaw Hall Fund,McCaw Hall,McCaw Hall Catering & Concessions,,280166,530000,550000
