RESPONDENT_ID,LANGUAGE_CODE,SURVEY_TYPE,Q01. In what country were you born?,Q02. In what year were you born?,Q03. In what year did you move to the United States?,Q04. In what ZIP code do you live?,Q05. What is your preferred language?,Q06. How well would you say you speak English?,Q07-Verbatim. What is the most important issue facing your immigrant and refugee community that you think our public officials should address?,Q07_CODE1. What is the most important issue facing your immigrant and refugee community that you think our public officials should address?-1,Q07_CODE2. What is the most important issue facing your immigrant and refugee community that you think our public officials should address? -2,Q07_CODE3. What is the most important issue facing your immigrant and refugee community that you think our public officials should address? -3,"Q08. Overall, how much of a difference do you think you can have in making your neighborhood a better place to live?",Q09. How interested are you in the presidential election this year?,"Q10_01. If you wanted to find information about elections, issues, and candidates, which of the following would you most likely use?  - 1","Q10_02. If you wanted to find information about elections, issues, and candidates, which of the following would you most likely use?  - 2","Q10_03. If you wanted to find information about elections, issues, and candidates, which of the following would you most likely use?  - 3","Q10_04. If you wanted to find information about elections, issues, and candidates, which of the following would you most likely use?  - 4","Q10_05. If you wanted to find information about elections, issues, and candidates, which of the following would you most likely use?  - 5","Q10_06. If you wanted to find information about elections, issues, and candidates, which of the following would you most likely use?  - 6","Q10_07. If you wanted to find information about elections, issues, and candidates, which of the following would you most likely use?  - 7","Q10_08. If you wanted to find information about elections, issues, and candidates, which of the following would you most likely use?  - 8","Q10_09. If you wanted to find information about elections, issues, and candidates, which of the following would you most likely use?  - 9","Q10_10. If you wanted to find information about elections, issues, and candidates, which of the following would you most likely use?  - 10","Q10_11. If you wanted to find information about elections, issues, and candidates, which of the following would you most likely use?  - 11","Q10_12. If you wanted to find information about elections, issues, and candidates, which of the following would you most likely use?  - 12","Q10_13. If you wanted to find information about elections, issues, and candidates, which of the following would you most likely use?  - 13","Q13_OTHER. Other: (If you wanted to find information about elections, issues, and candidates, which of the following would you most likely use? )",Q11. How easy is it to find information about elections and candidates in your preferred language?,Q12_01. Please tell us if you have done any of the following activities in the past 2 years. - 1,Q12_02. Please tell us if you have done any of the following activities in the past 2 years. - 2,Q12_03. Please tell us if you have done any of the following activities in the past 2 years. - 3,Q12_04. Please tell us if you have done any of the following activities in the past 2 years. - 4,Q12_05. Please tell us if you have done any of the following activities in the past 2 years. - 5,Q12_06. Please tell us if you have done any of the following activities in the past 2 years. - 6,Q12_07. Please tell us if you have done any of the following activities in the past 2 years. - 7,Q12_08. Please tell us if you have done any of the following activities in the past 2 years. - 8,Q12_09. Please tell us if you have done any of the following activities in the past 2 years. - 9,"Q13. Some people are registered to vote, while others are not. Which of the following best describes you?","Q13_OTHER. Other: (Some people are registered to vote, while others are not. Which of the following best describes you?)","Q14. If you are eligible (U.S. citizen over the age of 18), but have not yet registered to vote, what is the main reason why you have not registered to vote?","Q14_OTHER. Other: (If you are eligible (U.S. citizen over the age of 18), but have not yet registered to vote, what is the main reason why you have not registered to vote? )",Q15. Did you vote in the Presidential Election last November 2012?,"Q16. If you did not vote in the 2012 Presidential Election, what was the main reason for not voting in that election?","Q16_OTHER. Other: (If you did not vote in the 2012 Presidential Election, what was the main reason for not voting in that election?)",Q17. How likely is it that you will vote in the presidential election this November 2016?,Q18. How often have you voted in state and local elections?,"Q19. Have you ever been contacted and encouraged to vote by a candidate, political party, or other organization?",Q20. What is the highest level of education that you have completed?,Q21. Do you and your family own the place where you are living now or do you rent?,Q21_OTHER. Other: (Do you and your family own the place where you are living now or do you rent?),Q22. How many people (adults and children) currently live in your household?,Q23. Please select your gender:,Q23_OTHER. Other: (Please select your gender:),Q24. What was your total combined household income in 2015 before taxes?,"Q25. When it comes to getting around the city, which of these statements best describes your situation?","Q25_OTHER. Other: (When it comes to getting around the city, which of these statements best describes your situation?)",Q26. How did you hear about Seattle Votes?
1,Spanish,WEB,Colombia,1968,2006,98036,Spanish,Very well,"""""""Racism, discrimination and ignorance by the dominant population is white.""""""",Discrimination/Social justice/Equality, , ,I can make a big difference,I am very interested,Internet,Ethnic Television,Friends and family,Television in English,Ethnic newspapers,My place of worship,Newspapers in English,Ethinic radio,My union or work place,Radio in English,My community organization(s)/service provider(s),Library,Other:,school,It is difficult,I have signed a letter about a social or political issue,I attended a government or school board meeting in my city,I have worked on a project or attended a meeting in my neighborhood,"I contacted a public official through a letter, email, phone, or in-person",I sent a message on Facebook or other social media about a social or political issue,"I attended a PTA meeting, or other volunteer group at my child's school",I have given money to an organization or candidate, , ,I am registered to vote, , , ,No,I did not receive a ballot, ,Very likely,Often,Yes,College degree,We own our home, ,3,Female, ,"$65,000 to $99,999",I usually drive the car that I own, ,Social Media / Facebook / Online meet up groups / All online social media sites
2,English,WEB,Malaysia,1963,1984,98103,English,Very well,The ability of public office to bridge culture and fully comprehend what is it to fully understand the immigrant or refugees perspective.  Most public officials cannot relate to this experience because most if not all have far enjoyed the privilege economic life., Community centers/Community development, , ,I can make a moderate difference,I am very interested,Internet,Ethnic Television,Friends and family,Television in English,Ethnic newspapers,My place of worship,Newspapers in English,Ethinic radio,My union or work place,Radio in English,My community organization(s)/service provider(s),Library,Other:,talk shows and movies,Somewhat easy,I have signed a letter about a social or political issue,I attended a government or school board meeting in my city,I have worked on a project or attended a meeting in my neighborhood,"I attended a PTA meeting, or other volunteer group at my child's school",I have given money to an organization or candidate, , , , ,I am not currently eligible to register to vote, , , ,No,Not US citizen/Ineligible/Greencard holder,I'm not a citizen,Not likely at all,Never,Yes,Graduate or professional degree,We own our home, ,5,Male, ,"$100,000 to $150,000",I usually drive the car that I own, ,Other
3,Spanish,PAPER,Mexico,1986,2004,98168,Spanish,Very well,documentation for workers,Difficulty in legal residence/Greencard issue/Obtaining citizenship/Immigration, , ,I can make a big difference,I am very interested,Internet,Ethnic Television,Friends and family,Television in English,Ethnic newspapers,My place of worship,Newspapers in English,Ethinic radio,My union or work place,Radio in English,My community organization(s)/service provider(s),Library,Other:,Leaflet at music festival,Somewhat easy,I have worked on a project or attended a meeting in my neighborhood,"I participated in one or more demonstrations, protests, marches, or rallies","I contacted a public official through a letter, email, phone, or in-person",I sent a message on Facebook or other social media about a social or political issue,"I attended a PTA meeting, or other volunteer group at my child's school",I have given money to an organization or candidate, , , ,I am registered to vote, , , ,No,I did not receive a ballot, ,Very likely,Rarely, ,Some college,We own our home, ,9,Male, ,"$65,000 to $99,999","I own a car, but I usually take public transportation", ,Seattle Public Library ( online and in paper)
4,Arabic,PAPER,Iraq,1959,1912, , ,Well, , , , ,I can make a small difference,I am very interested,Internet,Television in English, , , , , , , , , , , , ,It is difficult,I sent a message on Facebook or other social media about a social or political issue,"I attended a PTA meeting, or other volunteer group at my child's school", , , , , , , ,I am not currently eligible to register to vote, ,None/No Answer/Not applicable, ,NA/Refused,I was not registered, ,NA/Refused,NA/Refused, ,High school graduate or GED,We rent our home, , ,Male, ,"$11,880 or less","I own a car, but I usually take public transportation", ,MCRC
5,Arabic,PAPER,Iraq,1961,1912, , ,Not well, , , , ,I can make a small difference,I am very interested,Internet, , , , , , , , , , , , , ,Somewhat easy,I sent a message on Facebook or other social media about a social or political issue,"I attended a PTA meeting, or other volunteer group at my child's school", , , , , , , ,I am not currently eligible to register to vote, ,None/No Answer/Not applicable, ,No,I was not registered, ,Not likely at all,Never, ,Eighth grade or below,We rent our home, , ,Male, ,"$11,880 or less","I don't own a car, so I take public transportation", ,MCRC
6,Arabic,PAPER,Syria,1976,2012, , ,Well,language / housing, Language help/Language specific education,Affordable housing/Low income housing, ,I can make a small difference,I am somewhat interested,Television in English, , , , , , , , , , , , , ,Somewhat easy,"I attended a PTA meeting, or other volunteer group at my child's school", , , , , , , , ,I am not currently eligible to register to vote, ,None/No Answer/Not applicable, ,No,"I tried to vote, but was told I was not eligible", ,Not likely at all,Never, ,Some college,We rent our home, , ,Female, ,"$11,880 or less","I own a car, but I usually take public transportation", ,MCRC
7,Arabic,PAPER,Iraq,1985,, , ,Well, , , , ,I can make a small difference, ,Television in English, , , , , , , , , , , , , ,It is difficult,"I attended a PTA meeting, or other volunteer group at my child's school", , , , , , , , ,I am not currently eligible to register to vote, ,Not a citizen yet/Not qualified/Greencard holder,I'm not a holder of US citizenship,No,I was not registered, ,I don't know,Never, ,None,We rent our home, , ,Female, ,I don't know,"I don't own a car, so I take public transportation", ,MCRC
8,Arabic,PAPER,Iraq,1966,2013, , ,Not well,Providing people to provide information for new refugees,General increase in public services/Increased access to information, , ,I can make no difference at all,I am somewhat interested,My community organization(s)/service provider(s), , , , , , , , , , , , , ,I have not found any, , , , , , , , , ,I am not currently eligible to register to vote, ,Voter registration information is not available in my preferred language, ,No,I was out of town, ,Not likely at all,NA/Refused, ,College degree,We rent our home, , ,Female, ,"$11,880 or less","I own a car, but I usually take public transportation", ,Iraqi Community
1200,Spanish,PAPER,Mexico,1942,2002,98087,Spanish,Not at all,na, , , ,I can make a big difference,I am very interested, , , , , , , , , , , , , , ,Very easy, , , , , , , , , ,I am registered to vote, , , ,Yes, , ,Very likely, , ,Eighth grade or below,We rent our home, ,6,Male, ,"$11,880 or less","I don't own a car, so I take public transportation", ,Seamar
9,Arabic,PAPER,Iraq,1946,2014, , ,Well,good, Don’t know, , ,I can make a small difference,I am somewhat interested,Friends and family,My place of worship,Newspapers in English,Library,Other:, , , , , , , , , ,Somewhat easy,I have worked on a project or attended a meeting in my neighborhood,"I attended a PTA meeting, or other volunteer group at my child's school",I have given money to an organization or candidate, , , , , , ,I am eligible to register but have not registered yet, ,I am too busy, ,No,I did not know how to fill out and submit my ballot, ,I don't know,Sometimes, ,Some high school,We rent our home, , ,Male, ,"$11,881 to $24,300",I usually walk, ,Iraqi Community
10,Arabic,PAPER,Jordan,1970,2012, ,Arabic,Well, , , , ,I can make a small difference,I am somewhat interested,Friends and family, , , , , , , , , , , , , ,I have not found any, , , , , , , , , , , ,I don't know how/where to register/it's too complicated, ,No,NA/Refused, ,Very likely,NA/Refused, ,High school graduate or GED,We rent our home, , ,NA/Refused, ,"$11,881 to $24,300","I don't own a car, so I take public transportation", ,Iraqi Community
